timestamp, speed, speed_reverse, strength, strength_reverse, binsWithSignal, binsWithSignal_reverse,meanAmplitudeForPedestrians, meanAmplitudeForCars, meanAmplitudeForNoiseLevel, , dynamic_noise_level_100, car_trigger_signal_31
12718, 31.00, 30.50, -96.03, -99.18, 0, 0, -95.43, -108.47, -107.71, -42.30, -107.74
12760, 11.75, 38.25, -94.54, -98.78, 0, 0, -95.65, -107.33, -107.47, -42.95, -107.76
12803, 14.75, 40.75, -97.15, -97.66, 0, 0, -95.27, -107.76, -107.11, -43.59, -107.78
12845, 38.75, 39.50, -98.09, -99.06, 0, 0, -96.93, -107.21, -106.95, -44.22, -107.79
12888, 33.00, 36.25, -98.10, -98.44, 0, 0, -95.35, -107.43, -107.28, -44.85, -107.80
12941, 35.75, 23.75, -98.15, -98.33, 0, 0, -92.75, -107.40, -107.06, -45.48, -107.80
12973, 10.75, 32.25, -96.24, -96.76, 0, 0, -96.05, -107.21, -106.83, -46.09, -107.80
13016, 31.25, 10.75, -95.77, -95.43, 0, 0, -93.66, -106.63, -105.88, -46.69, -107.80
13058, 41.50, 16.00, -98.40, -96.98, 0, 0, -95.09, -107.65, -107.26, -47.29, -107.78
13101, 10.00, 14.00, -98.15, -98.73, 0, 0, -94.36, -107.43, -106.85, -47.89, -107.77
13144, 13.75, 31.25, -96.58, -98.15, 0, 0, -94.79, -107.38, -107.03, -48.48, -107.74
13186, 25.25, 32.25, -98.31, -96.22, 0, 0, -94.42, -107.85, -106.87, -49.07, -107.72
13229, 30.50, 33.25, -97.23, -97.91, 0, 0, -95.36, -107.17, -106.49, -49.64, -107.69
13272, 27.50, 36.00, -98.98, -96.66, 0, 0, -96.96, -107.71, -106.61, -50.21, -107.66
13315, 27.50, 31.50, -97.11, -96.95, 0, 0, -97.71, -107.96, -106.98, -50.78, -107.62
13368, 35.50, 47.75, -96.46, -94.08, 0, 0, -95.14, -106.28, -106.02, -51.33, -107.59
13400, 10.50, 21.50, -96.06, -95.95, 0, 0, -98.09, -106.61, -106.13, -51.88, -107.56
13443, 47.00, 40.75, -95.15, -96.78, 0, 0, -96.21, -105.00, -104.89, -52.41, -107.53
13485, 47.00, 30.50, -96.69, -97.47, 0, 0, -95.01, -106.50, -105.85, -52.94, -107.50
13528, 47.00, 42.75, -95.69, -96.83, 0, 0, -95.38, -106.46, -105.60, -53.47, -107.46
13570, 42.00, 24.00, -98.02, -98.48, 0, 0, -95.60, -106.55, -106.04, -53.99, -107.42
13613, 35.00, 39.75, -95.70, -96.76, 0, 0, -97.57, -107.10, -106.17, -54.52, -107.38
13656, 27.25, 13.25, -96.74, -97.24, 0, 0, -93.91, -106.64, -106.16, -55.03, -107.34
13698, 46.75, 45.50, -95.58, -98.38, 0, 0, -94.15, -107.64, -107.00, -55.55, -107.29
13751, 42.50, 29.25, -98.32, -98.09, 0, 0, -95.88, -107.51, -107.06, -56.07, -107.25
13784, 21.50, 32.50, -95.70, -95.84, 0, 0, -95.82, -107.29, -106.86, -56.57, -107.20
13826, 25.00, 41.75, -98.21, -96.37, 0, 0, -94.30, -107.28, -106.01, -57.07, -107.15
13869, 38.25, 31.50, -98.20, -97.44, 0, 0, -96.32, -107.11, -106.71, -57.57, -107.10
13912, 42.50, 35.50, -96.83, -97.84, 0, 0, -95.40, -108.18, -106.95, -58.06, -107.05
13954, 42.00, 10.00, -98.82, -97.53, 0, 0, -96.45, -108.19, -107.10, -58.55, -107.02
